ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E05013605,Woodside,E09000014,Haringey,6253,2247,2240,1249,459,58
E05013542,Belmont,E09000015,Harrow,2931,1610,946,321,49,5
E05013543,Canons,E09000015,Harrow,3422,1729,1124,444,112,13
E05013544,Centenary,E09000015,Harrow,4523,2303,1574,549,92,5
E05013545,Edgware,E09000015,Harrow,4898,2051,1858,785,189,15
E05013546,Greenhill,E09000015,Harrow,4642,2293,1524,646,160,19
E05013547,Harrow on the Hill,E09000015,Harrow,3954,2030,1307,485,119,13
E05013548,Harrow Weald,E09000015,Harrow,5092,2161,1877,832,204,18
E05013549,Hatch End,E09000015,Harrow,3444,1914,1107,366,52,5
E05013550,Headstone,E09000015,Harrow,5239,2776,1752,576,125,10
E05013551,Kenton East,E09000015,Harrow,4491,1867,1730,720,163,11
E05013552,Kenton West,E09000015,Harrow,2904,1475,1047,333,48,1
E05013553,Marlborough,E09000015,Harrow,4001,1832,1427,598,136,8
E05013554,North Harrow,E09000015,Harrow,3250,1749,1108,323,60,10
E05013555,Pinner,E09000015,Harrow,5049,2839,1556,541,108,5
E05013556,Pinner South,E09000015,Harrow,5384,3129,1659,491,88,17
E05013557,Rayners Lane,E09000015,Harrow,3060,1604,1055,353,47,1
E05013558,Roxbourne,E09000015,Harrow,3295,1377,1190,543,172,13
E05013559,Roxeth,E09000015,Harrow,5306,2384,1918,797,194,13
E05013560,Stanmore,E09000015,Harrow,5136,2489,1673,762,199,13
E05013561,Wealdstone North,E09000015,Harrow,3359,1432,1222,547,140,18
E05013562,Wealdstone South,E09000015,Harrow,2623,1037,965,471,134,16
E05013563,West Harrow,E09000015,Harrow,3625,1606,1313,546,144,16
E05013967,Beam Park,E09000016,Havering,1943,840,639,346,113,5
E05013968,Cranham,E09000016,Havering,5145,2717,1755,595,73,5
E05013969,Elm Park,E09000016,Havering,6369,2903,2239,1007,209,11
E05013970,Emerson Park,E09000016,Havering,3376,1769,1126,426,53,2
E05013971,Gooshays,E09000016,Havering,6428,2403,2258,1299,437,31
E05013972,Hacton,E09000016,Havering,3619,1862,1240,461,52,4
E05013973,Harold Wood,E09000016,Havering,5697,2984,1877,674,147,15
E05013974,Havering-atte-Bower,E09000016,Havering,5926,2590,2147,943,229,17
E05013975,Heaton,E09000016,Havering,6618,2329,2431,1356,454,48
E05013976,Hylands & Harrow Lodge,E09000016,Havering,5456,2705,1852,734,161,4
E05013977,Marshalls & Rise Park,E09000016,Havering,4938,2508,1704,624,102,0
E05013978,Mawneys,E09000016,Havering,5497,2465,1985,867,171,9
E05013979,Rainham & Wennington,E09000016,Havering,5131,2212,1879,843,190,7
E05013980,Rush Green & Crowlands,E09000016,Havering,5828,2781,1975,847,211,14
E05013981,St Alban's,E09000016,Havering,3319,1632,1054,495,127,11
E05013982,St Andrew's,E09000016,Havering,6018,2851,2183,850,125,9
E05013983,St Edward's,E09000016,Havering,4596,2296,1471,666,152,11
E05013984,South Hornchurch,E09000016,Havering,3860,1691,1437,603,125,4
E05013985,Squirrels Heath,E09000016,Havering,6389,3448,2038,744,151,8
E05013986,Upminster,E09000016,Havering,5173,2936,1682,496,57,2
E05013564,Belmore,E09000017,Hillingdon,5091,1955,2048,880,197,11
E05013565,Charville,E09000017,Hillingdon,3791,1614,1436,603,129,9
E05013566,Colham & Cowley,E09000017,Hillingdon,6627,2675,2455,1144,321,32
E05013567,Eastcote,E09000017,Hillingdon,6652,3689,2134,694,123,12
E05013568,Harefield Village,E09000017,Hillingdon,2333,1160,750,351,69,3
E05013569,Hayes Town,E09000017,Hillingdon,5039,1892,1899,969,258,21
E05013570,Heathrow Villages,E09000017,Hillingdon,4808,1603,1956,944,274,31
E05013571,Hillingdon East,E09000017,Hillingdon,5432,2612,1785,811,211,13
E05013572,Hillingdon West,E09000017,Hillingdon,3780,2019,1157,464,131,9
