ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05013532,Northolt West End,E09000009,Ealing,16528,1253,1194,1348,1133,998,1149,1263,1288,1230,1086,1091,1063,798,518,421,299,213,183
E05013533,Norwood Green,E09000009,Ealing,15431,989,959,1059,955,993,1331,1409,1192,1207,990,999,908,725,596,439,271,210,199
E05013534,Perivale,E09000009,Ealing,16178,873,929,994,988,924,1170,1231,1397,1385,1113,1082,1062,916,655,562,360,289,248
E05013535,Pitshanger,E09000009,Ealing,15174,870,945,1056,914,897,972,1058,1103,1045,1064,1113,1058,787,651,649,438,285,269
E05013536,South Acton,E09000009,Ealing,17076,1159,992,905,779,1026,1762,1964,1648,1430,1180,1038,921,656,493,377,293,226,227
E05013537,Southall Broadway,E09000009,Ealing,10982,596,689,732,808,702,729,840,824,917,897,774,633,540,408,319,231,198,145
E05013538,Southall Green,E09000009,Ealing,16334,946,1064,1298,1213,1094,1078,1218,1332,1408,1277,1173,895,742,542,419,265,223,147
E05013539,Southall West,E09000009,Ealing,6812,409,470,526,471,486,508,451,529,533,513,452,376,334,241,174,131,109,99
E05013540,Southfield,E09000009,Ealing,16243,1028,934,797,600,807,1286,1583,1585,1460,1279,1169,1047,740,570,548,384,234,192
E05013541,Walpole,E09000009,Ealing,14644,890,782,794,602,724,1165,1321,1376,1283,1117,1068,918,777,559,479,332,250,207
E05013672,Arnos Grove,E09000010,Enfield,8874,534,510,531,461,421,500,588,611,746,584,580,644,484,409,445,325,239,262
E05013673,Bowes,E09000010,Enfield,10703,614,590,616,586,724,881,863,886,868,742,716,651,569,410,358,229,208,192
E05013674,Brimsdown,E09000010,Enfield,16286,1097,1189,1440,1318,1076,1148,1032,1119,1136,1086,1110,1003,823,493,432,300,276,208
E05013675,Bullsmoor,E09000010,Enfield,11383,662,829,1003,878,756,713,724,765,746,784,795,783,554,377,327,253,214,220
E05013676,Bush Hill Park,E09000010,Enfield,13000,772,700,710,597,626,672,817,877,856,837,898,886,845,804,703,497,411,492
E05013677,Carterhatch,E09000010,Enfield,12815,897,1068,1162,1150,918,856,786,804,895,827,930,698,589,364,312,244,164,151
E05013678,Cockfosters,E09000010,Enfield,10156,561,546,701,536,485,539,631,682,730,679,673,618,588,514,491,405,386,391
E05013679,Edmonton Green,E09000010,Enfield,17057,1231,1359,1367,1338,1148,1229,1203,1216,1175,1217,1170,975,802,552,377,259,214,225
E05013680,Enfield Lock,E09000010,Enfield,17861,1348,1439,1587,1283,1124,1322,1310,1291,1260,1261,1157,1162,747,520,392,280,214,164
E05013681,Grange Park,E09000010,Enfield,8605,419,505,568,461,394,450,486,564,588,610,662,651,509,445,451,332,250,260
E05013682,Haselbury,E09000010,Enfield,18337,1225,1288,1440,1355,1253,1267,1342,1219,1225,1229,1293,1131,946,700,524,366,286,248
E05013683,Highfield,E09000010,Enfield,9524,523,632,560,551,538,595,634,702,658,645,615,683,585,410,422,314,247,210
E05013684,Jubilee,E09000010,Enfield,16375,1130,1174,1338,1201,1016,1026,1145,1116,1187,1031,1094,1019,811,631,490,385,320,261
E05013685,Lower Edmonton,E09000010,Enfield,16536,1003,1312,1387,1277,1174,1120,1135,1107,1155,1119,1123,1042,846,576,434,275,253,198
E05013686,New Southgate,E09000010,Enfield,11121,698,640,644,560,617,947,1070,1035,965,769,709,672,537,393,321,229,167,148
E05013687,Oakwood,E09000010,Enfield,8701,490,581,605,470,406,425,557,623,685,629,626,573,471,376,391,279,248,266
E05013688,Palmers Green,E09000010,Enfield,10823,760,561,534,488,534,774,895,906,941,743,755,732,651,459,382,270,206,232
E05013689,Ponders End,E09000010,Enfield,13474,996,1163,1213,1090,979,906,968,1008,948,912,846,772,514,345,266,223,194,131
E05013690,Ridgeway,E09000010,Enfield,12776,699,724,797,600,515,725,867,886,1036,901,836,894,725,626,615,490,374,466
E05013691,Southbury,E09000010,Enfield,15334,1099,1155,1099,972,841,934,1169,1249,1239,1104,1029,965,762,531,442,309,226,209
E05013692,Southgate,E09000010,Enfield,15236,898,937,969,812,675,869,1103,1240,1247,1169,1056,944,837,620,575,458,428,399
E05013693,Town,E09000010,Enfield,13318,859,830,844,683,615,771,915,1072,1052,946,996,868,750,593,566,387,282,289
E05013694,Upper Edmonton,E09000010,Enfield,16814,1181,1356,1354,1332,1121,1187,1236,1246,1237,1114,1190,1004,742,518,362,233,200,201
E05013695,Whitewebbs,E09000010,Enfield,14395,968,1029,997,856,694,755,963,971,1159,1027,1023,990,715,590,601,438,276,343
E05013696,Winchmore Hill,E09000010,Enfield,10422,631,610,630,481,441,579,679,796,838,754,771,758,638,544,468,355,209,240
E05014072,Abbey Wood,E09000011,Greenwich,17417,1147,1394,1475,1114,1029,1283,1336,1384,1265,1204,1198,1054,829,606,415,315,179,190
E05014073,Blackheath Westcombe,E09000011,Greenwich,14962,811,892,864,592,566,1089,1309,1237,1285,1177,1124,948,763,556,590,482,320,357
E05014074,Charlton Hornfair,E09000011,Greenwich,12562,841,936,909,681,618,929,1145,1153,1085,941,898,657,567,386,338,202,149,127
E05014075,Charlton Village & Riverside,E09000011,Greenwich,10286,670,638,659,631,698,788,847,851,749,791,679,561,508,384,315,217,147,153
E05014076,East Greenwich,E09000011,Greenwich,14410,959,786,610,566,940,1572,2041,1741,1232,879,803,694,467,348,289,204,157,122
